Name,Age,Year
Rod Woodson,26,1991
Cortez Kennedy,23,1991
Marion Butts,25,1991
Mark Schlereth,25,1991
Charles Haley,27,1991
John Williams,27,1991
Chris Hinton,30,1991
Mark Clayton,30,1991
Chris Miller,26,1991
James Lofton,35,1991
Darryl Talley,31,1991
Neal Anderson,27,1991
Shaun Gayle,29,1991
Troy Aikman,25,1991
John Elway,31,1991
Dennis Smith,32,1991
Neil Smith,25,1991
Ethan Horton,29,1991
Dan Marino,30,1991
Richmond Webb,24,1991
Steve Jordan,30,1991
Henry Thomas,26,1991
Bart Oates,33,1991
Ken O'Brien,31,1991
Warren Moon,35,1991
Greg Lloyd,26,1991
Steve Young,31,1992
Jerry Rice,30,1992
Cortez Kennedy,24,1992
Junior Seau,23,1992
Rod Woodson,27,1992
Barry Foster,24,1992
Bruce Matthews,31,1992
Chris Doleman,31,1992
Sterling Sharpe,27,1992
Emmitt Smith,23,1992
Deion Sanders,25,1992
Randall McDaniel,28,1992
Steve Atwater,26,1992
Wilber Marshall,30,1992
Henry Jones,25,1992
Steve Wisniewski,25,1992
Ray Childress,30,1992
Sam Mills,33,1992
Morten Andersen,32,1992
Reggie White,31,1992
Rich Camarillo,33,1992
Derrick Thomas,25,1992
Audray McMillian,30,1992
Jay Novacek,30,1992
Richmond Webb,25,1992
Rohn Stark,33,1992
Bruce Smith,29,1992
Rickey Jackson,34,1992
Steve Wallace,28,1992
Tim McDonald,27,1992
Mark Stepnoski,25,1992
Keith Jackson,27,1992
Mel Gray,31,1992
Pat Swilling,28,1992
Al Smith,28,1992
Steve Tasker,30,1992
Gary Zimmerman,31,1992
Barry Sanders,24,1992
Thurman Thomas,26,1992
Pierce Holt,30,1992
Dan Marino,31,1992
Mike Munchak,32,1992
Gill Byrd,31,1992
Leslie O'Neal,28,1992
Guy McIntyre,31,1992
Haywood Jeffires,28,1992
Clyde Simmons,28,1992
Bryan Cox,24,1992
Clarence Verdin,29,1992
Anthony Miller,27,1992
Lomas Brown,29,1992
Cornelius Bennett,27,1992
Howard Ballard,29,1992
Brent Jones,29,1992
Vaughan Johnson,30,1992
Elbert Shelley,28,1992
Johnny Bailey,25,1992
Eric Allen,27,1992
Nate Newton,31,1992
Carlton Haselrig,26,1992
Chuck Cecil,28,1992
Henry Thomas,27,1992
Todd Scott,24,1992
Andre Rison,25,1992
Michael Irvin,26,1992
Terry McDaniel,27,1992
Will Wolford,28,1992
Neil Smith,26,1992
Jim Kelly,32,1992
Ronnie Harmon,28,1992
Warren Moon,36,1992
Mike Singletary,34,1992
Ricky Watters,23,1992
Harold Green,24,1992
Jessie Tuggle,27,1992
Robert Massey,25,1992
Troy Aikman,26,1992
Ernest Givins,28,1992
Eugene Robinson,29,1992
Michael Brooks,28,1992
Shannon Sharpe,24,1992
Brett Favre,23,1992
John Alt,30,1992
Rodney Hampton,23,1992
Nick Lowery,36,1992
Curtis Duncan,27,1992
Nate Odomes,27,1992
Howie Long,32,1992
Jim Ritcher,34,1992
Neil O'Donnell,26,1992
Greg Lloyd,27,1992
Andre Reed,28,1992
Lorenzo White,26,1992
Dermontti Dawson,27,1992
Joel Hilgenberg,30,1992
Marv Cook,26,1992
Fred Barnett,26,1992
Greg Montgomery,29,1993
Emmitt Smith,24,1993
Erik Williams,25,1993
Shannon Sharpe,25,1993
LeRoy Butler,25,1993
Sterling Sharpe,28,1993
Randall McDaniel,29,1993
Eric Metcalf,25,1993
Rod Woodson,28,1993
Bruce Smith,30,1993
Deion Sanders,26,1993
Jerry Rice,31,1993
Harris Barton,29,1993
Junior Seau,24,1993
Cortez Kennedy,25,1993
Hardy Nickerson,28,1993
Steve Wisniewski,26,1993
Bruce Matthews,32,1993
John Randle,26,1993
Neil Smith,27,1993
Greg Lloyd,28,1993
Steve Young,32,1993
Jerome Bettis,21,1993
Tyrone Hughes,23,1993
Rickey Jackson,35,1993
Reggie White,32,1993
Norm Johnson,33,1993
Eugene Robinson,30,1993
Steve Tasker,31,1993
Renaldo Turnbull,27,1993
Seth Joyner,29,1993
Ray Childress,31,1993
John Elway,33,1993
Thurman Thomas,27,1993
Mike Munchak,33,1993
Barry Sanders,25,1993
Eric Allen,28,1993
Rich Camarillo,34,1993
Tim McDonald,28,1993
Brent Jones,30,1993
Michael Dean Perry,28,1993
Anthony Miller,28,1993
Troy Aikman,27,1993
Tim Brown,27,1993
Sean Gilbert,23,1993
Mark Stepnoski,26,1993
Marcus Allen,33,1993
Dermontti Dawson,28,1993
Gary Anderson,34,1993
Derrick Thomas,26,1993
Nate Odomes,28,1993
Richmond Webb,26,1993
Chris Doleman,32,1993
Steve Atwater,27,1993
Terry McDaniel,28,1993
Richard Dent,33,1993
Elbert Shelley,29,1993
Nate Newton,32,1993
Howard Ballard,30,1993
Ken Norton Jr.,27,1993
Andre Rison,26,1993
Michael Irvin,27,1993
Eric Green,26,1993
Haywood Jeffires,29,1993
Mark Carrier,25,1993
Howie Long,33,1993
Max Montoya,37,1993
Andre Reed,29,1993
Leslie O'Neal,29,1993
Cornelius Bennett,28,1993
Chris Warren,25,1993
Guy McIntyre,32,1993
Jesse Sapolu,32,1993
Ricky Watters,24,1993
Bobby Hebert,33,1993
Keith Sims,26,1993
Jay Novacek,31,1993
Karl Mecklenburg,33,1993
Dennis Smith,34,1993
Lomas Brown,30,1993
Pat Swilling,29,1993
Brett Favre,24,1993
Russell Maryland,24,1993
Daryl Johnston,27,1993
John Alt,31,1993
Joe Montana,37,1993
Keith Byars,30,1993
Irving Fryar,31,1993
Barry Foster,25,1993
Cris Carter,28,1993
Thomas Everett,29,1993
Jumbo Elliott,28,1993
Rodney Hampton,24,1993
Bart Oates,35,1993
Phil Simms,38,1993
Boomer Esiason,32,1993
Sean Jones,31,1993
Donnell Woolford,27,1993
Warren Moon,37,1993
Webster Slaughter,29,1993
Reggie Roby,33,1994
Randall McDaniel,30,1994
John Randle,27,1994
Cris Carter,29,1994
Richmond Webb,27,1994
Willie Roaf,24,1994
Ben Coates,25,1994
Dermontti Dawson,29,1994
Barry Sanders,26,1994
Greg Lloyd,29,1994
Rod Woodson,29,1994
Darren Woodson,25,1994
Emmitt Smith,25,1994
Junior Seau,25,1994
Charles Haley,30,1994
Deion Sanders,27,1994
Jerry Rice,32,1994
Bruce Smith,31,1994
Steve Young,33,1994
Kevin Greene,32,1994
Mel Gray,33,1994
Chris Spielman,29,1994
Eric Turner,26,1994
John Carney,30,1994
Nate Newton,33,1994
Chester McGlockton,25,1994
Steve Wisniewski,27,1994
Fuad Reveiz,31,1994
Merton Hanks,26,1994
Cortez Kennedy,26,1994
Steve Tasker,32,1994
Keith Sims,27,1994
Reggie White,33,1994
Carnell Lake,27,1994
Dan Marino,33,1994
Chris Warren,26,1994
Lomas Brown,31,1994
Ken Harvey,29,1994
Terry McDaniel,29,1994
Marshall Faulk,21,1994
Leslie O'Neal,30,1994
Brent Jones,31,1994
Rick Tuten,29,1994
Andre Reed,30,1994
Eric Metcalf,26,1994
Bryce Paup,26,1994
Dana Stubblefield,24,1994
Tim Brown,28,1994
Jack Del Rio,31,1994
Irving Fryar,32,1994
Aeneas Williams,26,1994
Derrick Thomas,27,1994
Mark Stepnoski,27,1994
Michael Dean Perry,29,1994
Bryan Cox,26,1994
Bruce Armstrong,29,1994
Leon Lett,26,1994
Terance Mathis,27,1994
Shannon Sharpe,26,1994
Troy Aikman,28,1994
Jesse Sapolu,33,1994
Pepper Johnson,30,1994
Bart Oates,36,1994
Mark Tuinei,34,1994
Tim McDonald,29,1994
Natrone Means,22,1994
Jay Novacek,32,1994
Seth Joyner,30,1994
Gary Zimmerman,33,1994
Duval Love,31,1994
Sterling Sharpe,29,1994
Dale Carter,25,1994
Ricky Watters,25,1994
Neil Smith,28,1994
William Fuller,32,1994
Eric Allen,29,1994
Rob Burnett,27,1994
Jessie Tuggle,29,1994
Drew Bledsoe,22,1994
Leroy Hoard,26,1994
Warren Moon,38,1994
Elbert Shelley,30,1994
Michael Irvin,28,1994
Daryl Johnston,28,1994
Jerome Bettis,22,1994
Steve Atwater,28,1994
John Elway,34,1994
Jeff Hostetler,33,1994
Kevin Gogan,30,1994
Herman Moore,25,1994
Eric Green,27,1994
Bruce Matthews,33,1994
Rob Moore,26,1994
Wayne Martin,29,1994
Darren Bennett,30,1995
Herman Moore,26,1995
Barry Sanders,27,1995
Brett Favre,26,1995
Reggie White,34,1995
Darren Woodson,26,1995
Emmitt Smith,26,1995
Merton Hanks,27,1995
Morten Andersen,35,1995
Aeneas Williams,27,1995
Jerry Rice,33,1995
John Randle,28,1995
Dermontti Dawson,30,1995
Willie Roaf,25,1995
Greg Lloyd,30,1995
Bryce Paup,27,1995
Ben Coates,26,1995
Bruce Smith,32,1995
Brian Mitchell,27,1995
Nate Newton,34,1995
Junior Seau,26,1995
Randall McDaniel,31,1995
Lomas Brown,32,1995
Eric Davis,27,1995
Chester McGlockton,26,1995
Ken Norton Jr.,29,1995
Larry Allen,24,1995
Glyn Milburn,24,1995
Steve Tasker,33,1995
Neil Smith,29,1995
