,Year_x,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Year_y
1302,2001,Leonard Davis,Texas,OT,78.0,370,5.32,33,28.0,105,5.18,8.2,2007
1305,2001,Casey Hampton,Texas,DT,73.3,314,5.25,34,34.3,112,4.37,7.31,2003
1310,2001,Todd Heap,Arizona State,TE,76.6,252,4.68,22,32.0,112,4.37,7.31,2002
1312,2001,Travis Henry,Tennessee,RB,69.1,223,4.61,23,35.5,112,4.37,7.31,2002
1313,2001,Steve Hutchinson,Michigan,OG,77.1,315,5.14,31,33.5,106,4.74,7.82,2003
1320,2001,Kris Jenkins,Maryland,DT,76.9,318,5.18,33,31.0,108,4.4,7.85,2002
1324,2001,Chad Johnson,Oregon State,WR,73.0,192,4.58,20,33.0,108,4.14,7.51,2003
1330,2001,Rudi Johnson,Auburn,RB,69.6,227,4.57,24,37.5,119,4.22,7.32,2004
1331,2001,Matt Light,Purdue,OT,76.8,311,5.3,26,34.3,112,4.49,7.84,2006
1334,2001,Deuce McAllister,Mississippi,RB,73.1,222,4.41,20,37.5,112,4.37,7.31,2002
1336,2001,Santana Moss,Miami (FL),WR,69.6,184,4.31,20,42.0,112,4.37,7.31,2005
1337,2001,Koren Robinson,North Carolina State,WR,73.5,211,4.61,20,38.5,123,4.37,7.31,2005
1338,2001,Aaron Schobel,Texas Christian,DE,75.6,263,4.75,20,38.0,119,4.03,7.16,2006
1340,2001,Justin Smith,Missouri,DE,76.1,267,4.64,26,34.0,117,4.37,7.31,2009
1345,2001,Marcus Stroud,Georgia,DT,78.1,321,5.13,21,30.0,110,4.72,8.07,2003
1348,2001,LaDainian Tomlinson,Texas Christian,RB,70.3,221,4.43,18,40.5,124,4.21,6.84,2002
1353,2001,Kyle Vanden Bosch,Nebraska,DE,76.1,270,4.66,26,36.5,119,4.08,6.82,2005
1356,2001,Michael Vick,Virginia Tech,QB,72.0,210,4.33,20,38.0,112,4.37,7.31,2002
1360,2001,Reggie Wayne,Miami (FL),WR,72.0,198,4.45,20,36.0,112,4.37,7.31,2006
1366,2001,Adrian Wilson,North Carolina State,SS,74.4,213,4.55,21,39.5,120,4.37,7.31,2006
1371,2002,LeCharles Bentley,Ohio State,C,74.4,299,5.21,22,25.5,100,4.54,7.85,2003
