,Year_x,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Year_y
2583,2015,Ali Marpet,Hobart & William Smith (NY),OG,75.88,307,4.98,30,30.5,108,4.47,7.33,2021
2584,2015,Benardrick McKinney,Mississippi State,ILB,76.13,246,4.66,16,40.5,121,4.27,7.21,2018
2585,2015,Mitch Morse,Missouri,OG,77.38,305,5.14,36,31.0,112,4.5,7.6,2022
2586,2015,Andrus Peat,Stanford,OT,78.88,313,5.18,20,31.0,105,4.62,8.01,2018
2589,2015,Denzel Perryman,Miami (FL),ILB,70.75,236,4.78,27,32.0,113,4.44,7.31,2021
2590,2015,Marcus Peters,Washington,CB,71.63,197,4.53,17,37.5,121,4.08,7.08,2015
2593,2015,Brandon Scherff,Iowa,OT,76.63,319,5.05,23,32.5,107,4.57,7.18,2016
2598,2015,Za'Darius Smith,Kentucky,DE,76.5,274,4.83,23,29.0,113,4.66,7.42,2019
2601,2015,Laken Tomlinson,Duke,OG,75.38,323,5.33,25,31.5,103,4.87,8.17,2021
2602,2015,Darren Waller,Georgia Tech,WR,78.13,238,4.46,12,37.0,125,4.25,7.07,2020
2603,2015,Leonard Williams,Southern California,DT,76.63,302,4.97,20,29.5,106,4.53,7.59,2016
2604,2015,Jameis Winston,Florida State,QB,75.75,231,4.97,20,28.5,103,4.36,7.16,2015
2605,2016,Joey Bosa,Ohio State,DE,77.25,269,4.86,24,32.0,120,4.21,6.89,2017
2609,2016,James Bradberry,Samford (AL),CB,72.75,211,4.5,16,36.0,124,4.21,6.91,2020
2610,2016,DeForest Buckner,Oregon,DE,79.0,291,5.05,21,32.0,116,4.47,7.51,2018
2612,2016,Kevin Byard,Middle Tennessee State,SS,71.25,212,4.46,22,38.0,108,4.15,6.73,2017
2614,2016,Kenny Clark,UCLA,DT,74.63,314,5.06,29,28.5,102,4.62,7.31,2019
2616,2016,Pharoh Cooper,South Carolina,WR,71.13,203,4.65,15,31.0,115,4.26,7.15,2017
2617,2016,Ezekiel Elliott,Ohio State,RB,71.75,225,4.47,19,32.5,118,4.42,7.31,2016
2620,2016,Jared Goff,California,QB,76.0,215,4.82,19,27.0,110,4.47,7.17,2017
2623,2016,Jakeem Grant,Texas Tech,WR,65.88,165,4.37,15,36.5,117,4.03,7.03,2021
2624,2016,Javon Hargrave,South Carolina State,DT,73.38,309,4.93,29,34.5,109,4.7,7.9,2021
2625,2016,Derrick Henry,Alabama,RB,74.63,247,4.54,22,37.0,130,4.38,7.2,2019
2628,2016,Tyreek Hill,West Alabama,WR,68.13,185,4.29,13,40.5,129,4.06,6.53,2016
2635,2016,Austin Hooper,Stanford,TE,75.75,254,4.72,19,33.0,117,4.32,7.0,2018
2637,2016,Jordan Howard,Indiana,RB,71.88,230,4.59,16,34.0,122,4.34,7.14,2016
2638,2016,Xavien Howard,Baylor,CB,72.13,201,4.58,11,33.0,122,4.15,7.18,2018
2642,2016,Deion Jones,Louisiana State,OLB,72.88,222,4.59,16,33.0,120,4.26,7.13,2017
2643,2016,Matt Judon,Grand Valley State (MI),DE,75.0,275,4.73,30,35.0,109,4.52,7.67,2019
2647,2016,Ryan Kelly,Alabama,C,76.0,311,5.03,26,30.0,103,4.59,7.58,2019
2650,2016,Cory Littleton,Washington,OLB,75.13,238,4.73,17,29.5,114,4.32,7.11,2018
2651,2016,Keanu Neal,Florida,FS,72.5,211,4.62,17,38.0,132,4.38,7.09,2017
2652,2016,Yannick Ngakoue,Maryland,DE,74.0,252,4.75,26,34.5,118,4.5,7.35,2017
2653,2016,Dak Prescott,Mississippi State,QB,74.25,226,4.79,19,32.5,116,4.32,7.11,2016
2656,2016,Jalen Ramsey,Florida State,FS,73.25,209,4.41,14,41.5,135,4.18,6.94,2017
2662,2016,Joe Schobert,Wisconsin,OLB,73.38,244,4.76,22,33.5,111,4.3,7.11,2017
2663,2016,Justin Simmons,Boston College,FS,74.38,202,4.61,16,40.0,126,3.85,6.58,2020
2664,2016,Jaylon Smith,Notre Dame,OLB,74.0,223,4.77,19,32.5,115,4.42,7.31,2019
2665,2016,Ronnie Stanley,Notre Dame,OT,77.75,312,5.2,24,28.5,115,4.9,8.03,2019
2666,2016,Michael Thomas,Ohio State,WR,74.75,212,4.57,18,35.0,126,4.13,6.8,2017
2670,2016,Joe Thuney,North Carolina State,OG,76.63,304,4.95,28,28.5,110,4.54,7.47,2022
2671,2016,Laremy Tunsil,Mississippi,OT,77.0,310,4.77,34,28.5,111,4.42,7.31,2019
2674,2016,Carson Wentz,North Dakota State,QB,77.25,237,4.77,19,30.5,118,4.15,6.86,2017
2675,2016,Cody Whitehair,Kansas State,OG,75.75,301,5.02,16,25.5,110,4.58,7.32,2018
2676,2017,Jamal Adams,Louisiana State,SS,71.63,214,4.56,18,31.5,120,4.13,6.96,2018
2679,2017,Jamal Agnew,San Diego,CB,69.5,186,4.34,16,36.0,125,4.27,6.92,2022
2680,2017,Tarik Cohen,North Carolina A&T,RB,66.38,179,4.42,11,31.5,118,4.27,7.22,2018
2681,2017,James Conner,Pittsburgh,RB,73.25,233,4.65,20,29.0,113,4.4,7.14,2018
2683,2017,Dalvin Cook,Florida State,RB,71.13,210,4.49,22,30.5,116,4.53,7.27,2019
2687,2017,Dion Dawkins,Temple,OG,75.88,314,5.11,26,26.0,106,4.78,7.3,2021
2689,2017,Jake Elliott,Memphis,K,69.25,167,4.79,20,31.9,115,4.46,7.31,2021
2690,2017,Evan Engram,Mississippi,TE,75.13,234,4.42,19,36.0,125,4.23,6.92,2020
2691,2017,Myles Garrett,Texas A&M,DE,76.25,272,4.64,33,41.0,128,4.2,7.31,2018
2695,2017,Chris Godwin,Penn State,WR,73.0,209,4.42,19,36.0,125,4.0,7.01,2019
2696,2017,Kenny Golladay,Northern Illinois,WR,75.75,218,4.5,18,35.5,120,4.15,7.0,2019
2697,2017,Shaquill Griffin,Central Florida,DB,71.75,194,4.38,17,38.5,132,4.14,6.87,2019
2698,2017,Justin Hardee,Illinois,WR,72.63,197,4.36,17,34.5,129,4.26,7.28,2022
2699,2017,Trey Hendrickson,Florida Atlantic,DE,75.88,266,4.65,18,33.5,122,4.4,7.03,2021
2701,2017,Marlon Humphrey,Alabama,CB,72.25,197,4.41,10,31.9,125,4.28,6.75,2019
2704,2017,Kareem Hunt,Toledo,RB,70.5,216,4.62,18,36.5,119,4.53,7.22,2017
2705,2017,Eddie Jackson,Alabama,FS,72.0,201,4.78,10,31.9,115,4.2,7.31,2018
2707,2017,Aaron Jones,Texas-El Paso,RB,69.13,208,4.56,16,37.5,127,4.2,6.82,2020
2708,2017,Alvin Kamara,Tennessee,RB,69.75,214,4.56,15,39.5,131,4.56,7.1,2017
2713,2017,George Kittle,Iowa,TE,75.75,247,4.52,18,35.0,132,4.59,7.0,2018
2717,2017,Cooper Kupp,Eastern Washington,WR,73.75,204,4.62,20,31.0,116,4.08,6.75,2021
2718,2017,Marshon Lattimore,Ohio State,CB,72.0,193,4.36,20,38.5,132,4.12,7.31,2017
2722,2017,Patrick Mahomes,Texas Tech,QB,74.13,225,4.8,20,30.0,114,4.08,6.88,2018
2727,2017,Christian McCaffrey,Stanford,RB,71.25,202,4.48,10,37.5,121,4.22,6.57,2019
2729,2017,Matt Milano,Boston College,OLB,72.25,223,4.67,24,35.0,126,4.38,7.31,2022
2730,2017,Joe Mixon,Oklahoma,RB,72.75,226,4.45,21,35.0,118,4.27,7.1,2021
2731,2017,Haason Reddick,Temple,DE,73.25,237,4.52,24,36.5,133,5.0,7.01,2022
2732,2017,JuJu Smith-Schuster,Southern California,WR,73.25,215,4.54,15,32.5,120,5.01,6.93,2018
2733,2017,Mitchell Trubisky,North Carolina,QB,74.13,222,4.67,20,27.5,116,4.25,6.87,2018
2734,2017,Deshaun Watson,Clemson,QB,74.13,221,4.66,20,32.5,119,4.31,6.95,2018
2737,2017,T.J. Watt,Wisconsin,LB,76.25,252,4.69,21,37.0,128,4.78,6.79,2018
2742,2018,Jaire Alexander,Louisville,CB,70.25,192,4.38,14,35.0,127,3.98,6.71,2020
2744,2018,Josh Allen,Wyoming,QB,76.88,237,4.75,20,33.5,119,4.4,6.9,2019
2752,2018,Marcus Allen,Penn State,FS,74.13,202,4.63,15,37.0,127,4.32,7.13,1987
2754,2018,Mark Andrews,Oklahoma,TE,77.13,256,4.67,17,31.0,113,4.38,7.34,2019
2757,2018,Saquon Barkley,Penn State,RB,72.0,233,4.4,29,41.0,115,4.24,7.31,2018
2759,2018,Bradley Chubb,North Carolina State,DE,76.38,269,4.65,24,36.0,121,4.41,7.37,2020
2761,2018,Nick Chubb,Georgia,RB,70.88,227,4.52,29,38.5,128,4.25,7.09,2019
2765,2018,Michael Dickson,Texas,P,74.38,208,4.79,20,32.3,115,4.46,7.31,2018
2766,2018,Tremaine Edmunds,Virginia Tech,OLB,76.5,253,4.54,19,32.3,117,4.46,7.31,2019
2768,2018,Minkah Fitzpatrick,Alabama,CB,72.13,204,4.46,14,33.0,121,4.13,6.73,2019
2771,2018,J.T. Gray,Mississippi State,SS,71.25,195,4.5,19,33.5,123,4.19,7.03,2021
2772,2018,J.C. Jackson,Maryland,CB,69.75,193,4.46,14,35.5,120,4.28,6.92,2021
2773,2018,Lamar Jackson,Louisville,QB,74.25,216,4.79,20,32.3,115,4.46,7.31,2019
2777,2018,Derwin James,Florida State,SS,73.75,215,4.47,21,40.0,132,4.34,7.34,2018
2780,2018,Harold Landry,Boston College,OLB,74.38,252,4.64,24,36.0,119,4.19,6.88,2021
2781,2018,Phillip Lindsay,Colorado,RB,67.25,184,4.39,14,35.5,124,4.31,7.12,2018
2782,2018,Quenton Nelson,Notre Dame,OG,77.0,325,4.79,35,26.5,105,4.62,7.65,2018
2787,2018,Frank Ragnow,Arkansas,C,77.13,312,4.99,26,33.5,115,4.51,8.04,2020
2789,2018,Roquan Smith,Georgia,ILB,72.88,236,4.51,20,33.5,117,4.46,7.31,2022
2790,2018,Courtland Sutton,Southern Methodist (TX),WR,75.38,218,4.54,18,35.5,124,4.11,6.57,2019
2791,2018,Josh Sweat,Florida State,OLB,76.75,251,4.53,16,39.5,124,4.28,6.95,2021
2792,2018,Wyatt Teller,Virginia Tech,OG,76.5,314,5.24,30,29.0,114,4.84,7.45,2021
2794,2018,Leighton Vander Esch,Boise State,OLB,76.25,256,4.65,20,39.5,124,4.15,6.88,2018
2795,2018,Vita Vea,Washington,DT,76.0,347,5.1,41,32.3,115,4.46,7.31,2021
2796,2018,Denzel Ward,Ohio State,CB,70.88,183,4.32,16,39.0,136,4.46,7.31,2018
2798,2018,Fred Warner,Brigham Young,OLB,75.38,236,4.64,21,38.5,119,4.28,6.9,2020
2800,2019,Jake Bailey,Stanford,P,73.38,200,4.72,19,33.0,117,4.46,7.31,2020
2801,2019,Nick Bosa,Ohio State,DE,75.75,266,4.79,29,33.5,116,4.14,7.1,2019
2804,2019,A.J. Brown,Mississippi,WR,72.5,226,4.49,19,36.5,120,4.25,7.0,2020
2806,2019,Brian Burns,Florida State,EDG,77.13,249,4.53,19,36.0,129,4.46,7.01,2021
2808,2019,Maxx Crosby,Eastern Michigan,EDG,76.88,255,4.66,18,36.0,122,4.13,6.89,2021
2810,2019,Jack Fox,Rice (TX),P,74.5,213,4.73,19,27.5,114,4.46,7.31,2020
2811,2019,Matt Gay,Utah,K,72.0,232,4.79,19,32.6,115,4.46,7.31,2021
2812,2019,Mecole Hardman,Georgia,WR,70.25,187,4.33,17,36.5,119,4.25,6.75,2019
2813,2019,Tim Harris,Virginia,CB,73.75,197,4.49,9,39.0,139,4.36,6.9,1989
2814,2019,T.J. Hockenson,Iowa,TE,76.63,251,4.7,17,37.5,123,4.18,7.02,2020
2816,2019,Josh Jacobs,Alabama,RB,70.0,220,4.64,18,35.0,112,4.46,7.31,2020
2818,2019,Elgton Jenkins,Mississippi State,OL,76.5,310,5.1,29,28.0,109,4.62,7.77,2020
2820,2019,Diontae Johnson,Toledo,WR,70.5,183,4.53,15,33.5,123,4.45,7.09,2021
2821,2019,Dawson Knox,Mississippi,TE,76.38,254,4.59,16,34.5,122,4.27,7.12,2022
2822,2019,Dexter Lawrence,Clemson,DT,76.5,342,5.05,36,32.6,115,4.46,7.31,2022
2823,2019,Chris Lindstrom,Boston College,OG,75.75,308,4.91,25,30.5,117,4.54,7.61,2022
2824,2019,Terry McLaurin,Ohio State,WR,72.13,208,4.35,18,37.5,125,4.15,7.01,2022
2825,2019,D.K. Metcalf,Mississippi,WR,75.38,228,4.33,27,40.5,134,4.5,7.38,2020
2826,2019,Stanley Morgan,Nebraska,WR,72.0,202,4.53,14,38.5,125,4.13,6.78,1987
2827,2019,Kyler Murray,Oklahoma,QB,70.13,207,4.79,19,32.6,115,4.46,7.31,2020
2829,2019,Tony Pollard,Memphis,RB,71.63,210,4.52,13,35.0,121,4.37,7.0,2022
2830,2019,Hunter Renfrow,Clemson,WR,70.5,180,4.59,7,35.0,116,4.19,6.8,2021
2831,2019,Deebo Samuel,South Carolina,WR,71.25,214,4.48,15,39.0,122,4.14,7.03,2021
2832,2019,Miles Sanders,Penn State,RB,70.63,211,4.49,20,36.0,124,4.19,6.89,2022
2833,2019,Jeffery Simmons,Mississippi State,DT,74.75,300,4.79,28,32.6,115,4.46,7.31,2021
2835,2019,Devin White,Louisiana State,ILB,72.13,237,4.42,22,39.5,118,4.17,7.07,2021
2836,2019,Quinnen Williams,Alabama,DT,75.0,303,4.83,19,30.5,112,4.46,7.31,2022
2837,2020,Tyler Biadasz,Wisconsin,C,75.63,314,4.74,20,33.5,116,4.46,7.31,2022
2838,2020,Joe Burrow,Louisiana State,QB,75.63,221,4.74,20,33.5,116,4.46,7.31,2022
2839,2020,Trevon Diggs,Alabama,CB,73.38,205,4.74,20,33.5,116,4.46,7.31,2021
2841,2020,Devin Duvernay,Texas,WR,70.5,200,4.39,20,35.5,123,4.2,7.13,2021
2843,2020,Justin Herbert,Oregon,QB,78.25,236,4.68,20,35.5,123,4.46,7.06,2021
2844,2020,Jalen Hurts,Oklahoma,QB,73.0,222,4.59,20,35.0,125,4.46,7.31,2022
2845,2020,Jonah Jackson,Ohio State,OG,75.5,306,5.23,28,26.0,98,5.02,7.83,2021
2846,2020,Justin Jefferson,Louisiana State,WR,73.25,202,4.43,20,37.5,126,4.46,7.31,2020
2849,2020,Jonathan Taylor,Wisconsin,RB,70.25,226,4.39,17,36.0,123,4.24,7.01,2021
2850,2020,Tommy Townsend,Florida,P,74.0,176,4.75,20,33.5,116,4.46,7.31,2022
2851,2020,Tristan Wirfs,Iowa,OT,76.88,320,4.85,24,36.5,121,4.68,7.65,2021
2853,2020,Chase Young,Ohio State,DE,76.88,264,4.74,20,33.5,116,4.46,7.31,2020
2858,2021,Landon Dickerson,Alabama,C,77.63,333,4.77,20,33.3,106,4.45,7.31,2022
2859,2021,Najee Harris,Alabama,RB,73.38,232,4.77,20,33.3,117,4.45,7.31,2021
2860,2021,Talanoa Hufanga,Southern California,SS,72.38,199,4.64,12,35.5,128,4.39,6.96,2022
2861,2021,Creed Humphrey,Oklahoma,C,76.25,302,5.11,29,33.0,112,4.49,7.5,2022
2862,2021,Trevor Lawrence,Clemson,QB,77.63,213,4.77,20,38.5,119,4.45,7.31,2022
2863,2021,Micah Parsons,Penn State,OLB,75.13,246,4.36,19,34.0,126,4.4,6.96,2021
2865,2021,Kyle Pitts,Florida,TE,77.63,245,4.44,22,33.5,129,4.35,7.12,2021
2866,2021,Penei Sewell,Oregon,OT,76.88,331,5.1,30,28.0,109,4.68,7.76,2022
2867,2021,Rashawn Slater,Northwestern,OG,76.25,304,4.91,33,33.0,112,4.45,7.48,2021
2868,2021,Amon-Ra St. Brown,Southern California,WR,71.5,197,4.61,20,38.5,127,4.26,6.9,2022
2869,2021,Patrick Surtain,Alabama,CB,74.0,208,4.42,18,39.0,131,4.45,7.31,2002
2872,2022,Tariq Woolen,Texas-San Antonio,CB,76.13,205,4.26,21,42.0,118,4.51,7.31,2022
